;Кому посвящен;Наименование;Адрес;Авторы;Год открытия;Описание;PHOTO_URL;y;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Грибоедов А. С.;;Пионерская пл.;–;–;Автор комедии «Горе от ума».;https://avatars.mds.yandex.net/get-altay/5488055/2a0000017ddc85a414f3f930a91af54beb83/XXXL;59.921490; 30.332496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Блок А. А.;;улица Декабристов, 55;;2023;;https://avatars.mds.yandex.net/get-altay/13197739/2a000001909b9db34e669c7d8807430305d7/XXXL;59.923760; 30.283959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Гоголь Н. В. ;Нос майора Ковалева;Вознесенский проспект, 36;;1995;Нос майора Ковалева можно назвать самым необычным памятником в Санкт-Петербурге. Идея создания скульптуры принадлежит писателю, актеру и режиссеру Виктору Жуку. Памятник установили на фасаде дома № 11 по Вознесенскому проспекту, в том самом месте, где жил его литературный обладатель — персонаж повести Н.В. Гоголя «Нос». 27 ноября 1995 года скульптуру торжественно открыли участники Фестиваля сатиры и юмора «Золотой Остап». Из серой известняковой плиты размером 60 см на 35 см торчит нос, сделанный из розового украинского мрамора, привезенного с родины Н.В. Гоголя.;https://avatars.mds.yandex.net/get-altay/6333331/2a0000018073dc5fcf87ec2f45db3220ea55/XXXL;59.924576; 30.308240;Нос;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Берггольц О. Ф.;;Гороховая улица, 57А;;;;https://avatars.mds.yandex.net/get-altay/3836503/2a00000176b2fd39e9a49432f24e1b4c1187/XXXL;59.925997; 30.324764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Достоевский Ф. М.;;Большая Московская ул., 1;Холина Любовь Михайловна, Игнатьев Павел;–;–;https://avatars.mds.yandex.net/get-altay/10768923/2a0000018c9256db4421584ae12b1e652c97/XXXL;59.927455; 30.347548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Довлатов;;ул. Рубинштейна, 25;;;;https://avatars.mds.yandex.net/get-altay/14885978/2a000001964fc25a2da67f970f2dc91943df/XXXL;59.927583; 30.342933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Ломоносов М. В.;;Площадь Ломоносова;;;Учёный, поэт, художник, историк.;https://avatars.mds.yandex.net/get-altay/15431134/2a00000197ea846abd7c26483e191762588d/XXXL;59.928903; 30.334584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;Пушкинская ул.;–;–;–;https://avatars.mds.yandex.net/get-altay/4200646/2a00000175c28bffe789b1bfe5d9012edd5e/XXXL;59.928973; 30.356782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Мицкевич А.;;Графский пер., 8;Ястребенецкий Григорий Данилович;–;Поэт, национально-освободительный деятель.;https://avatars.mds.yandex.net/get-altay/7179902/2a00000183f192bbd4d2b939052b33337f62/XXXL;59.930506; 30.346053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Гумилёв Н. С;;набережная реки Мойки, 48-50-52;;;;https://avatars.mds.yandex.net/get-altay/12838938/2a000001924257fbc86b8f4ed832ba1d8fb7/XXXL;59.932367; 30.318302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Ахматова А. А.;;Восстания ул.;Трояновский В.И.;1991 г.;Русский поэт, жизнь и творчество которой тесно связаны с Петербургом-Ленинградом и Царским Селом.;https://avatars.mds.yandex.net/get-altay/14761495/2a000001998b64c2a45db558f0a385d5f532/XXXL;59.934409; 30.359796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Мандельштам О. Э.;;Шереметевский сад, Литейный проспект, 53;;;Русский поэт.;https://avatars.mds.yandex.net/get-altay/15487932/2a00000199f7b76680f2d173f7a78ee0eff4/XXXL;59.936060; 30.346422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Гоголь Н. В. ;;Малая Конюшенная ул.;Михаил Владимирович Белов, Владимир Сергеевич Васильковский;–;Скульптура из бронзы на гранитном постаменте.;https://avatars.mds.yandex.net/get-altay/1514203/2a0000016bb346f16373a1c77186596becb9/XXXL;59.936400; 30.325015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Гёте И. В.;;Невский пр., 22—24, у церкви св.;–;–;Немецкий поэт и мыслитель.;https://avatars.mds.yandex.net/get-altay/4612894/2a00000180a81af919f4c606801928cbc481/XXXL;59.936468; 30.324034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Гоголь Н. В. ;;Александровский сад, у фонтана перед Адмиралтейством;Крейтан Виктор Павлович;1896 г.;Русский писатель.;https://avatars.mds.yandex.net/get-altay/10534734/2a0000018fb3660bd2875f834cce2fa3a94a/XXXL;59.93673995; 30.30921478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
