Кому посвящена;ФИО_Стандарт;Адрес;Текст надписи;Даты/Авторы;Категория ГИС;URL_Высокая;y;x
Виталий Бианки;Бианки В.;В.О., 3-я линия, 58;«В этом доме жил писатель Виталий Бианки»;1994 год, Арх. Милорадович Т. Н.;Мемориальная;;59.9478669;30.279624
Александр Сергеевич Пушкин;Пушкин А.С.;Кутузова наб., 32;«Здесь с 1834 года по 1836 год жил Александр Сергеевич Пушкин»;1970, Арх. Милорадович Т. Н.;Мемориальная;https://encspb.ru/image/2805553799/1;59.9482796;30.3388149
Леонид Сергеевич Соболев;Соболев Л.С.;Шпалерная ул., 30;«В этом доме с 1924 по 1971 год жил и работал писатель Леонид Сергеевич Соболев»;1976. Арх. Васильковский В. С., Милорадович Т. Н. Гранит;Мемориальная;;59.9491509;30.3539878
Толстой А. Н.;Толстой А.Н.;Ждановская наб., 3.;«В этом доме с 1923 по 1928 год жил и работал писатель Алексей Николаевич Толстой»;1983, Арх. Милорадович Т. Н.;Мемориальная;https://encspb.ru/image/2805555266/1;59.9529199;30.2894664
Абрамов Ф.А.;Абрамов Ф.А.;Мичуринская ул., 1;«В этом доме в 1982–1983 годах жил и работал писатель Федор Александрович Абрамов»;1992, Арх. Милорадович Т. Н. Гранит;Мемориальная;https://encspb.ru/image/2805549274/1;59.9534843;30.3323832
Тихонову Н. С.;Тихонов Н.С.;Зверинская ул., 2/5. (Ф-254);«Здесь с 1922 по 1944 год жил и работал Герой Социалистического Труда, писатель и общественный деятель Николай Семенович Тихонов»;1981, Арх. Милорадович Т. Н. Гранит.;Мемориальная;https://encspb.ru/image/2805555159/1;59.9535082;30.2927069
Ольга Дмитриевна Форш;Форш О.Д.;Куйбышева ул., 3 (Ф-265);«В этом доме с 1954 года по 1961 год жила писательница Ольга Дмитриевна Форш»;1977 год, Арх. Милорадович Т. Н., Васильковский В. С.;Мемориальная;https://encspb.ru/image/2805555650/1;59.9540277;30.3281654
Алексей Максимович Горький;Горький А.М.;Кронверкский проспект, 23 (Ф-169);«В этом доме жил с 1914 г. по 1921 г. Алексей Максимович Горький. Возобновлена в 1960 г.»;1961, Арх. Егоров М. Ф.;Мемориальная;https://encspb.ru/image/2805551266/1;59.9568505;30.3184361
Евгений Львович Шварц;Шварц Е.Л.;Малая Посадская ул., 8. (Ф-273);«Доброму сказочнику Евгению Шварцу, жившему в этом доме. “У нас такие тайны — обхохочешься” Е. Шварц»;1997 год. Авторы: Арх. Бекаревич Г. А., скульпторы Игнатьев П. П., Шевченко С. П.;Мемориальная;https://encspb.ru/image/2805559324/1;59.9579173;30.3214819
Сергей Сергеевич Орлов;Орлов С.С.;Малая Посадская ул., 8 (Ф-222);«В этом доме с 1956 по 1971 год жил и работал поэт Сергей Сергеевич Орлов»;1985, Арх. Бухаев В. Б., скульптор Аникушин М. К., Бронза;Мемориальная;https://encspb.ru/image/2805553463/1;59.9579198;30.3212474
Александр Андреевич Прокофьев;Прокофьев А.А.;Кронверкская ул., 29/37;«В этом доме с 1957 по 1971 год жил и работал выдающийся советский поэт, лауреат Ленинской и Государственной премий, Герой Социалистического Труда Александр Андреевич Прокофьев»;1972. Арх. Гепнер Ф. А., скульптор Аникушин М. К.;Мемориальная;https://encspb.ru/image/2805553653/1;59.9621791;30.3099301
Лассила Майю (Алгот Унтола);Унтола А.;Лесной проспект, 9;«В этом доме в 1902–1904 годах жил выдающийся финский писатель Майю Лассила (Алгот Унтола).»;1991. Арх. Васильковский В. С.;Мемориальная;;59.9633823;30.3518667
Александр Блоку А. А.;Блок А. А.;Петроградская набережная, 44.;«В этом доме с 1889 года по 1906 год жил поэт Александр Блок»;1980. Арх. Милорадович Т. Н.;Мемориальная;;59.965275;30.3333581
